day,problem,ac,seconds
1,478C,5,1446
1,268C,4,1560
1,441C,1,2460
1,486C,5,5400
1,490C,3,4320
2,463C,6,3120
2,152C,1,883
2,109A,1,375
3,382C,2,1980
3,388A,2,2400
3,9C,2,1260
3,339C,2,2340
3,651C,2,1740
4,350C,1,1226
4,459C,2,4200
4,220A,2,420
4,377A,1,983
4,217A,1,762
5,385C,3,3600
5,137C,2,1920
5,427C,3,3600
5,414A,4,2100
5,279C,2,1800
6,264A,2,960
6,149C,1,840
6,225C,1,3000
6,18C,1,340
6,348A,4,2660
7,978C,2,2460
7,978D,1,1200
7,978E,1,1440
7,978F,1,2340
7,978G,3,1800
8,283A,1,3540
8,231C,1,3780
8,429C,1,1260
8,235A,1,2220
8,166C,2,2340
9,343A,1,2400
9,61E,1,1800
9,251A,1,1740
9,464A,3,3300
9,424C,1,2400
10,155B,1,297
10,133B,1,519
10,366B,1,382
10,58B,1,277
10,514B,2,919
11,408B,1,720
11,312B,1,1417
11,349B,3,1380
11,361B,1,1100
11,182B,1,1050
12,234B,1,405
12,137B,1,167
12,151B,1,947
12,257B,1,2140
12,359B,1,1101
13,129B,1,1457
13,222B,1,530
13,143B,1,1386
13,224B,1,1200
13,437B,1,582
14,233B,2,1400
14,219B,5,1800
